"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"1";"2-PIN";"CONN_02";"1X02";"DOOR";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"2";"220Î©";"RESISTORAXIAL-0.3";"AXIAL-0.3";"R1, R2";"Resistor";"";"";"";"";"";"";
"3";"3-PIN";"CONN_03";"1X03";"ONE_WIRE1, ONE_WIRE2, ONE_WIRE3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"XXX-00000";"455-1750-1-ND";
"3";"3TERM";"W237-103";"W237-103";"X3, X4, X5";"WAGO SCREW CLAMP";"";"237-103";"unknown";"18M7116";"";"";
"1";"4-PIN";"CONN_04PTH";"1X04";"RELAY";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-09696";"";
"1";"4TERM";"W237-102";"W237-102";"X2";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";
"1";"4TERM";"W237-4";"W237-4";"RELAY_TERM";"WAGO SCREW CLAMP";"";"";"unknown";"unknown";"";"";
"1";"CINV";"LED3MM";"LED_3MM";"D3";"LED (Generic)";"";"";"";"";"DIO-08794";"";
"1";"CNON";"LED3MM";"LED_3MM";"D4";"LED (Generic)";"";"";"";"";"DIO-08794";"";
"1";"HINV";"LED3MM";"LED_3MM";"D1";"LED (Generic)";"";"";"";"";"DIO-08794";"";
"1";"HNON";"LED3MM";"LED_3MM";"D2";"LED (Generic)";"";"";"";"";"DIO-08794";"";
"1";"RJ45-8X";"RJ45-8X";"RJ45-NO-SHIELD";"X1";"CORCOM Modular RJ Jacks No Shield";"";"RJ45-8X";"unknown";"16R6101";"";"";
